source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell line]	characteristics[cell type]	characteristics[age]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[enrichment method]	characteristics[enrichment process]	characteristics[sex]	characteristics[treatment]	characteristics[treatment]	characteristics[biological replicate]	material type	assay name	technology type	comment[instrument]	comment[label]	comment[fraction identifier]	comment[fractionation method]	comment[proteomics data acquisition method]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]	comment[file uri]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[technical replicate]	comment[data file]	factor value[enrichment process]	factor value[treatment]	factor value[treatment]
PXD013923-Sample-1	Homo sapiens	not applicable	malignant melanoma	A375	epithelial	54Y	not available	not available	TIO2	enrichment of phosphorylated Protein	female	control	BRAF inhibitor dabrafenib	1	cell	run 4	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	SILAC medium	2	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	Data-Dependent Acquisition	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013923/20131114_CCS_EV_A375_RAFi_30min_S02_12.raw	not available	not available	1	20131114_CCS_EV_A375_RAFi_30min_S02_12.raw	enrichment of phosphorylated Protein	control	BRAF inhibitor dabrafenib
PXD013923-Sample-1	Homo sapiens	not applicable	malignant melanoma	A375	epithelial	54Y	not available	not available	TIO2	enrichment of phosphorylated Protein	female	none	control	1	cell	run 4	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	SILAC light	2	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	Data-Dependent Acquisition	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013923/20131114_CCS_EV_A375_RAFi_30min_S02_12.raw	not available	not available	1	20131114_CCS_EV_A375_RAFi_30min_S02_12.raw	enrichment of phosphorylated Protein	none	control
PXD013923-Sample-1	Homo sapiens	not applicable	malignant melanoma	A375	epithelial	54Y	not available	not available	TIO2	enrichment of phosphorylated Protein	female	none	BRAF inhibitor dabrafenib	1	cell	run 5	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	SILAC heavy	3	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	Data-Dependent Acquisition	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013923/20131114_CCS_EV_A375_RAFi_30min_S03_4_5_6.raw	not available	not available	1	20131114_CCS_EV_A375_RAFi_30min_S03_4_5_6.raw	enrichment of phosphorylated Protein	none	BRAF inhibitor dabrafenib
PXD013923-Sample-1	Homo sapiens	not applicable	malignant melanoma	A375	epithelial	54Y	not available	not available	TIO2	enrichment of phosphorylated Protein	female	control	BRAF inhibitor dabrafenib	1	cell	run 5	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	SILAC medium	3	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	Data-Dependent Acquisition	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013923/20131114_CCS_EV_A375_RAFi_30min_S03_4_5_6.raw	not available	not available	1	20131114_CCS_EV_A375_RAFi_30min_S03_4_5_6.raw	enrichment of phosphorylated Protein	control	BRAF inhibitor dabrafenib
PXD013923-Sample-1	Homo sapiens	not applicable	malignant melanoma	A375	epithelial	54Y	not available	not available	TIO2	enrichment of phosphorylated Protein	female	none	control	1	cell	run 5	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	SILAC light	3	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	Data-Dependent Acquisition	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013923/20131114_CCS_EV_A375_RAFi_30min_S03_4_5_6.raw	not available	not available	1	20131114_CCS_EV_A375_RAFi_30min_S03_4_5_6.raw	enrichment of phosphorylated Protein	none	control
PXD013923-Sample-1	Homo sapiens	not applicable	malignant melanoma	A375	epithelial	54Y	not available	not available	TIO2	enrichment of phosphorylated Protein	female	none	BRAF inhibitor dabrafenib	1	cell	run 6	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	SILAC heavy	4	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	Data-Dependent Acquisition	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013923/20131114_CCS_EV_A375_RAFi_30min_S07_8.raw	not available	not available	1	20131114_CCS_EV_A375_RAFi_30min_S07_8.raw	enrichment of phosphorylated Protein	none	BRAF inhibitor dabrafenib
PXD013923-Sample-1	Homo sapiens	not applicable	malignant melanoma	A375	epithelial	54Y	not available	not available	TIO2	enrichment of phosphorylated Protein	female	control	BRAF inhibitor dabrafenib	1	cell	run 6	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	SILAC medium	4	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	Data-Dependent Acquisition	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013923/20131114_CCS_EV_A375_RAFi_30min_S07_8.raw	not available	not available	1	20131114_CCS_EV_A375_RAFi_30min_S07_8.raw	enrichment of phosphorylated Protein	control	BRAF inhibitor dabrafenib
PXD013923-Sample-1	Homo sapiens	not applicable	malignant melanoma	A375	epithelial	54Y	not available	not available	TIO2	enrichment of phosphorylated Protein	female	none	control	1	cell	run 6	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	SILAC light	4	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	Data-Dependent Acquisition	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013923/20131114_CCS_EV_A375_RAFi_30min_S07_8.raw	not available	not available	1	20131114_CCS_EV_A375_RAFi_30min_S07_8.raw	enrichment of phosphorylated Protein	none	control
PXD013923-Sample-1	Homo sapiens	not applicable	malignant melanoma	A375	epithelial	54Y	not available	not available	TIO2	enrichment of phosphorylated Protein	female	none	BRAF inhibitor dabrafenib	1	cell	run 7	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	SILAC heavy	5	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	Data-Dependent Acquisition	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013923/20131114_CCS_EV_A375_RAFi_30min_S09_10_11.raw	not available	not available	1	20131114_CCS_EV_A375_RAFi_30min_S09_10_11.raw	enrichment of phosphorylated Protein	none	BRAF inhibitor dabrafenib
PXD013923-Sample-1	Homo sapiens	not applicable	malignant melanoma	A375	epithelial	54Y	not available	not available	TIO2	enrichment of phosphorylated Protein	female	control	BRAF inhibitor dabrafenib	1	cell	run 7	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	SILAC medium	5	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	Data-Dependent Acquisition	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013923/20131114_CCS_EV_A375_RAFi_30min_S09_10_11.raw	not available	not available	1	20131114_CCS_EV_A375_RAFi_30min_S09_10_11.raw	enrichment of phosphorylated Protein	control	BRAF inhibitor dabrafenib
