source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[cell type]	characteristics[individual]	characteristics[cell line]	characteristics[disease]	characteristics[developmental stage]	assay name	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[modification parameters]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	Material Type
Sample 1	Homo sapiens	kidney	not available	not available	not applicable	not applicable	not applicable	HEK293	not available	not available	run 1	QC_20140522_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD003133/QC_20140323_1.raw	not applicable	AC=MS:1001742;NT=LTQ Orbitrap Velos	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	not available	0.5 Da	20 ppm	cell
Sample 2	Homo sapiens	kidney	not available	not available	not applicable	not applicable	not applicable	HEK293	not available	not available	run 2	QC_20140521_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD003133/QC_20140521_1.raw	not applicable	AC=MS:1001742;NT=LTQ Orbitrap Velos	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	not available	0.5 Da	20 ppm	cell
Sample 3	Homo sapiens	kidney	not available	not available	not applicable	not applicable	not applicable	HEK293	not available	not available	run 3	QC_20140521_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD003133/QC_20140521_2.raw	not applicable	AC=MS:1001742;NT=LTQ Orbitrap Velos	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	not available	0.5 Da	20 ppm	cell
Sample 4	Homo sapiens	kidney	not available	not available	not applicable	not applicable	not applicable	HEK293	not available	not available	run 4	QC_20140323_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD003133/QC_20140522_1.raw	not applicable	AC=MS:1001742;NT=LTQ Orbitrap Velos	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	not available	0.5 Da	20 ppm	cell
